Transaction_ID,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Store_Branch,Rating,Month,Month_Num,Segment
TXN00236,CUST0183,46,Female,Audio,AirPods Pro 2,2,774.33,0,1548.66,2025-02-01,Ras Al Khaimah,Tabby (BNPL),Outlet Branch,5.0,February,2,At-Risk
TXN00249,CUST0041,43,Female,Smart Home,Amazon Echo Dot,4,677.21,10,2437.96,2025-10-20,Sharjah,Debit Card,Mall Branch,5.0,October,10,At-Risk
TXN00917,CUST0004,24,Male,Accessories,Laptop Sleeve,1,298.54,0,298.54,2025-12-04,Unknown,Cash,Mall Branch,5.0,December,12,Loyal/Regular
TXN00320,CUST0044,58,Male,TVs,LG 65in OLED,4,6288.42,0,25153.68,2025-06-21,Fujairah,Tabby (BNPL),Downtown Branch,4.0,June,6,Loyal/Regular
TXN00016,CUST0068,56,Female,TVs,Hisense 43in 4K,1,7189.76,0,7189.76,2025-09-26,Sharjah,Debit Card,Downtown Branch,4.0,September,9,Loyal/Regular
TXN00788,CUST0129,53,Male,Audio,Bose QuietComfort,1,802.34,0,802.34,2025-02-26,Abu Dhabi,Cash,Mall Branch,5.0,February,2,At-Risk
TXN01066,CUST0190,20,Male,Mobiles,OnePlus 12,2,4069.0,0,8138.0,2025-12-28,Unknown,Debit Card,Outlet Branch,4.0,December,12,High-Value
TXN00497,CUST0055,29,Male,Laptops,Lenovo ThinkPad E14,2,5962.33,0,11924.66,2025-03-11,Fujairah,Apple Pay,Online Store,3.0,March,3,High-Value
TXN01175,CUST0008,30,Female,Mobiles,Google Pixel 8,2,2688.510819672131,15,4570.47,2025-01-08,Sharjah,Cash,Downtown Branch,5.0,January,1,Loyal/Regular
TXN00953,CUST0175,43,Female,Cameras,DJI Osmo Pocket 3,2,5761.58,15,9794.69,2025-11-26,Al Ain,Credit Card,Outlet Branch,5.0,November,11,At-Risk
TXN00472,CUST0176,26,Male,Wearables,Apple Watch Series 9,1,1472.17,0,1472.17,2025-11-14,Ajman,Cash,Online Store,4.0,November,11,Loyal/Regular
TXN00068,CUST0174,37,Female,Cameras,Canon EOS R50,2,5340.75,0,10681.5,2025-01-22,Abu Dhabi,Apple Pay,Online Store,4.0,January,1,Loyal/Regular
TXN00072,CUST0071,59,Female,Tablets,iPad Air,2,1528.22,0,3056.44,2025-07-24,Ajman,Tabby (BNPL),Mall Branch,5.0,July,7,High-Value
TXN00371,CUST0049,64,Male,Laptops,Lenovo ThinkPad E14,1,5613.25,0,5613.25,2025-11-03,Ras Al Khaimah,Credit Card,Online Store,5.0,November,11,High-Value
TXN01074,CUST0019,58,Female,Tablets,Samsung Galaxy Tab S9,1,2160.98,10,1944.88,2025-08-23,Al Ain,Cash,Online Store,5.0,August,8,High-Value
TXN00764,CUST0049,64,Male,Cameras,Sony Alpha A6400,5,3111.78,5,14780.96,2025-03-05,Ras Al Khaimah,Credit Card,Online Store,2.0,March,3,High-Value
TXN00336,CUST0021,60,Male,Cameras,Sony Alpha A6400,1,1307.52,0,1307.52,2025-12-20,Fujairah,Tabby (BNPL),Mall Branch,5.0,December,12,High-Value
TXN00807,CUST0113,23,Female,TVs,Sony 50in Bravia,1,4954.63,0,4954.63,2025-03-02,Unknown,Debit Card,Online Store,5.0,March,3,At-Risk
TXN00084,CUST0171,45,Male,Tablets,iPad Air,1,1686.44,5,1602.12,2025-11-22,Ras Al Khaimah,Apple Pay,Outlet Branch,5.0,November,11,High-Value
TXN00400,CUST0204,34,Male,Mobiles,iPhone 15,1,4436.94,0,4436.94,2025-12-10,Fujairah,Credit Card,Online Store,5.0,December,12,At-Risk
TXN01168,CUST0060,38,Female,Wearables,Apple Watch Series 9,1,1145.86,0,1145.86,2025-11-07,Dubai,Apple Pay,Mall Branch,4.0,November,11,High-Value
TXN00306,CUST0100,42,Male,TVs,Hisense 43in 4K,1,2406.5,0,2406.5,2025-02-17,Ajman,Credit Card,Outlet Branch,2.0,February,2,High-Value
TXN01040,CUST0274,19,Male,Laptops,HP Pavilion 15,2,5162.32,0,10324.64,2025-03-20,Abu Dhabi,Debit Card,Downtown Branch,4.0,March,3,Loyal/Regular
TXN00059,CUST0022,36,Male,Smart Home,Amazon Echo Dot,1,632.74,0,632.74,2025-06-13,Fujairah,Apple Pay,Online Store,3.0,June,6,High-Value
TXN00758,CUST0166,64,Female,Cameras,Canon EOS R50,2,5673.95,0,11347.9,2025-02-05,Unknown,Apple Pay,Outlet Branch,4.0,February,2,High-Value
TXN00406,CUST0202,53,Female,Accessories,Anker Power Bank,1,101.07,0,101.07,2025-01-03,Sharjah,Apple Pay,Mall Branch,4.0,January,1,Loyal/Regular
TXN00616,CUST0012,27,Male,Laptops,Dell XPS 13,2,8268.12,0,16536.24,2025-06-01,Fujairah,Apple Pay,Downtown Branch,3.0,June,6,Loyal/Regular
TXN00634,CUST0172,39,Female,Smart Home,Google Nest Hub,1,696.49,0,696.49,2025-07-10,Ras Al Khaimah,Tabby (BNPL),Online Store,5.0,July,7,Loyal/Regular
TXN00942,CUST0014,42,Male,Audio,Bose QuietComfort,2,1275.2,0,2550.4,2025-01-25,Abu Dhabi,Apple Pay,Downtown Branch,4.0,January,1,High-Value
TXN00883,CUST0213,31,Male,TVs,Sony 50in Bravia,1,3356.89,0,3356.89,2025-11-16,Ajman,Tabby (BNPL),Mall Branch,4.0,November,11,High-Value
TXN00673,CUST0227,55,Male,Mobiles,Xiaomi Redmi Note 13,1,3059.73,0,3059.73,2025-01-02,Dubai,Cash,Outlet Branch,4.0,January,1,Loyal/Regular
TXN00233,CUST0120,52,Male,Cameras,Sony Alpha A6400,1,1109.6,0,1109.6,2025-09-26,Al Ain,Debit Card,Online Store,4.0,September,9,At-Risk
TXN00287,CUST0248,63,Male,Cameras,DJI Osmo Pocket 3,1,1996.93,0,1996.93,2025-01-22,Dubai,Debit Card,Outlet Branch,5.0,January,1,High-Value
TXN00553,CUST0252,54,Male,Laptops,Lenovo ThinkPad E14,2,4785.44,0,9570.88,2025-01-13,Abu Dhabi,Tabby (BNPL),Mall Branch,5.0,January,1,Loyal/Regular
TXN00319,CUST0074,39,Male,TVs,Sony 50in Bravia,1,7710.26,10,6939.23,2025-01-02,Al Ain,Credit Card,Outlet Branch,4.0,January,1,Loyal/Regular
TXN00071,CUST0217,55,Male,Wearables,Fitbit Charge 6,1,345.58,20,276.46,2025-04-25,Fujairah,Apple Pay,Downtown Branch,3.0,April,4,High-Value
TXN00008,CUST0241,25,Male,TVs,Samsung 55in QLED,2,2774.04,5,5270.68,2025-06-22,Ajman,Debit Card,Online Store,5.0,June,6,At-Risk
TXN00828,CUST0218,54,Female,Gaming,PlayStation 5,2,1843.08,0,3686.16,2025-11-28,Ajman,Debit Card,Mall Branch,3.0,November,11,Loyal/Regular
TXN00791,CUST0254,41,Male,Tablets,Lenovo Tab P11,2,2803.05,0,5606.1,2025-11-24,Al Ain,Apple Pay,Downtown Branch,3.0,November,11,At-Risk
TXN00544,CUST0156,30,Female,Mobiles,iPhone 15,3,1622.72,0,4868.16,2025-03-05,Abu Dhabi,Debit Card,Downtown Branch,5.0,March,3,High-Value
TXN00580,CUST0123,36,Male,TVs,Hisense 43in 4K,5,3303.03,0,16515.15,2025-11-04,Ajman,Tabby (BNPL),Downtown Branch,5.0,November,11,Loyal/Regular
TXN00488,CUST0133,49,Female,Laptops,MacBook Air M3,1,2046.9,0,2046.9,2025-06-16,Fujairah,Debit Card,Mall Branch,5.0,June,6,High-Value
TXN00456,CUST0239,19,Male,Accessories,USB-C Cable Pack,1,333.18,10,299.86,2025-03-12,Sharjah,Apple Pay,Downtown Branch,5.0,March,3,At-Risk
TXN01200,CUST0128,25,Male,Laptops,Dell XPS 13,1,8318.89,0,8318.89,2025-12-16,Ras Al Khaimah,Apple Pay,Outlet Branch,3.0,December,12,High-Value
TXN00946,CUST0067,28,Female,Cameras,DJI Osmo Pocket 3,1,3632.86,0,3632.86,2025-03-18,Al Ain,Debit Card,Outlet Branch,5.0,March,3,High-Value
TXN01194,CUST0112,56,Male,Gaming,Xbox Series X,4,1751.23,0,7004.92,2025-12-01,Al Ain,Debit Card,Outlet Branch,4.0,December,12,Loyal/Regular
TXN01000,CUST0245,28,Female,Cameras,Canon EOS R50,1,4535.5,10,4081.95,2025-12-04,Dubai,Tabby (BNPL),Downtown Branch,3.0,December,12,At-Risk
TXN00147,CUST0255,59,Female,Accessories,Anker Power Bank,2,286.9,10,516.42,2025-04-07,Dubai,Cash,Online Store,4.0,April,4,At-Risk
TXN00102,CUST0136,18,Female,Audio,Bose QuietComfort,1,1169.88,10,1052.89,2025-07-21,Fujairah,Cash,Outlet Branch,4.0,July,7,High-Value
TXN00477,CUST0212,62,Male,Smart Home,Google Nest Hub,2,843.7,0,1687.4,2025-08-27,Ras Al Khaimah,Cash,Mall Branch,5.0,August,8,High-Value
TXN00921,CUST0259,29,Female,Accessories,Laptop Sleeve,1,47.81,0,47.81,2025-12-27,Al Ain,Debit Card,Online Store,5.0,December,12,High-Value
TXN00380,CUST0053,47,Male,TVs,Sony 50in Bravia,1,2050.27,0,2050.27,2025-01-01,Ras Al Khaimah,Apple Pay,Downtown Branch,4.0,January,1,Loyal/Regular
TXN00288,CUST0058,41,Male,Smart Home,Ring Video Doorbell,1,198.27,0,198.27,2025-11-22,Al Ain,Tabby (BNPL),Downtown Branch,5.0,November,11,High-Value
TXN00334,CUST0096,59,Male,Tablets,Lenovo Tab P11,3,2385.66,5,6799.13,2025-06-11,Dubai,Credit Card,Outlet Branch,5.0,June,6,Loyal/Regular
TXN00969,CUST0147,24,Female,Gaming,Nintendo Switch OLED,1,559.52,0,559.52,2025-01-16,Fujairah,Debit Card,Downtown Branch,5.0,January,1,Loyal/Regular
TXN00376,CUST0005,45,Male,Accessories,Laptop Sleeve,2,125.88,10,226.58,2025-08-26,Dubai,Credit Card,Online Store,3.0,August,8,Loyal/Regular
TXN00432,CUST0027,35,Male,Smart Home,Philips Hue Starter Kit,2,474.99,0,949.98,2025-09-04,Al Ain,Debit Card,Downtown Branch,1.0,September,9,High-Value
TXN00120,CUST0276,33,Female,TVs,Sony 50in Bravia,2,2133.46,0,4266.92,2025-03-22,Ras Al Khaimah,Tabby (BNPL),Downtown Branch,5.0,March,3,High-Value
TXN00280,CUST0071,59,Female,Smart Home,Amazon Echo Dot,2,687.16,0,1374.32,2025-11-16,Ajman,Debit Card,Downtown Branch,5.0,November,11,High-Value
TXN00408,CUST0101,34,Female,Wearables,Samsung Galaxy Watch 6,1,905.79,0,905.79,2025-10-19,Abu Dhabi,Credit Card,Mall Branch,5.0,October,10,At-Risk
TXN00951,CUST0197,29,Female,Accessories,Anker Power Bank,1,306.09,0,306.09,2025-03-06,Dubai,Apple Pay,Mall Branch,5.0,March,3,High-Value
TXN00824,CUST0212,62,Male,Cameras,GoPro Hero 12,4,1760.22,15,5984.75,2025-05-18,Ras Al Khaimah,Apple Pay,Outlet Branch,4.0,May,5,High-Value
TXN01050,CUST0274,19,Male,Laptops,Dell XPS 13,2,6950.91,0,13901.82,2025-03-15,Abu Dhabi,Tabby (BNPL),Downtown Branch,4.0,March,3,Loyal/Regular
TXN00794,CUST0059,51,Male,TVs,LG 65in OLED,1,5731.05,0,5731.05,2025-11-04,Al Ain,Tabby (BNPL),Downtown Branch,3.0,November,11,Loyal/Regular
TXN01115,CUST0057,58,Male,Tablets,iPad Air,1,2093.16,5,1988.5,2025-12-09,Sharjah,Tabby (BNPL),Online Store,1.0,December,12,High-Value
TXN00968,CUST0118,38,Male,Accessories,Laptop Sleeve,3,103.52,20,248.45,2025-12-08,Dubai,Apple Pay,Downtown Branch,5.0,December,12,Loyal/Regular
TXN00224,CUST0044,58,Male,Cameras,GoPro Hero 12,1,6045.86,20,4836.69,2025-02-21,Fujairah,Apple Pay,Downtown Branch,3.0,February,2,Loyal/Regular
TXN00388,CUST0178,65,Male,Accessories,USB-C Cable Pack,1,36.83,5,34.99,2025-03-02,Al Ain,Apple Pay,Outlet Branch,4.0,March,3,Loyal/Regular
TXN00663,CUST0228,59,Female,Mobiles,Samsung Galaxy S24,2,3549.63,5,6744.3,2025-11-07,Sharjah,Credit Card,Online Store,5.0,November,11,High-Value
TXN00264,CUST0192,44,Male,Wearables,Fitbit Charge 6,1,1046.19,0,1046.19,2025-12-21,Ras Al Khaimah,Cash,Online Store,4.0,December,12,High-Value
TXN00285,CUST0225,28,Female,Cameras,GoPro Hero 12,1,5831.62,10,5248.46,2025-02-13,Sharjah,Apple Pay,Outlet Branch,4.0,February,2,High-Value
TXN00585,CUST0157,37,Male,Gaming,PlayStation 5,1,543.82,5,516.63,2025-11-21,Sharjah,Debit Card,Outlet Branch,5.0,November,11,At-Risk
TXN00357,CUST0121,34,Male,Audio,JBL Flip 6,1,491.18,0,491.18,2025-09-05,Abu Dhabi,Credit Card,Mall Branch,5.0,September,9,At-Risk
TXN00046,CUST0228,59,Female,Laptops,MacBook Air M3,1,3915.84,0,3915.84,2025-09-19,Sharjah,Tabby (BNPL),Online Store,4.0,September,9,High-Value
TXN00182,CUST0217,55,Male,Tablets,Xiaomi Pad 6,2,2479.4,5,4710.86,2025-12-18,Fujairah,Debit Card,Outlet Branch,4.0,December,12,High-Value
